sample_cd,country_cd,province_cd,district_cd,district_nm,municipality_PT_nm,locality_nm,location_nm,sampling_site_cd,latitude,longitude,altitude,sampling_date_b,sampling_date_e,method_cd,collector_nm,species_cd,species_nm_full,mm,ff,ID_doubtful?,coll_position_cd,identified_by,identified_date,collection cd,preservation_method_cd,remarks_spm
PT/2012/041/RA,PT,Douro Litoral,PT-13,Porto,Valongo,Valongo,Serras de Valongo,-,"41°09'33.4""","8°29'05.6""",75,,2012-05-30T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",2,0,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2013/116/RA,PT,Trás-os-Montes e Alto Douro,PT-17,Vila Real,Mondim de Basto,Bilhó,-,-,"41°25'15.5""","7°51'53.6""",600,,2013-06-25T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",1,0,false,,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2015/234/RA,PT,Trás-os-Montes e Alto Douro,PT-04,Bragança,Bragança,Carragosa,-,-,"41°54'20.3""","6°46'32.1""",762,,2015-06-19T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,1,false,,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2016/371/RA,PT,Trás-os-Montes e Alto Douro,PT-04,Bragança,Vinhais,Tuizelo,-,-,"41°54'20.3""","7°01'47.4""",936,,2016-06-05T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,1,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2011/003/JA,PT,Algarve,PT-08,Faro,Aljezur,Bordeira,Carrapateira,-,"37°11'44.2""","8°54'16.0""",20,2011-04-15T22:00:00Z,2011-04-15T22:00:00Z,SW,Jorge Mota Almeida,APHRARGY,"Aphrosylus argyreatus Frey, 1945",1,1,false,RC/PAL/19/1848,Marc Pollet,2012-02-07T23:00:00Z,MAPC,W,
PT/2011/060/RA,PT,Minho,PT-16,Viana do Castelo,Viana do Castelo,Carreço,-,-,"41°45'52.5""","8°52'38.0""",3,2011-09-06T22:00:00Z,2011-09-06T22:00:00Z,SW,Rui Andrade,APHRARGY,"Aphrosylus argyreatus Frey, 1945",1,1,false,RC/PAL/19/1848,Marc Pollet,2012-02-07T23:00:00Z,MAPC,W,
PT/2012/090/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,,2012-10-19T22:00:00Z,SW,Rui Andrade,APHRARGY,"Aphrosylus argyreatus Frey, 1945",1,0,false,RC/PAL/31/3017,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,checked
PT/2016/400/RA,PT,Algarve,PT-08,Faro,Aljezur,Aljezur,Praia da Amoreira,-,"37°20'57.9""","8°50'41.2""",0,,2016-10-01T22:00:00Z,HC,Rui Andrade,APHRARGY,"Aphrosylus argyreatus Frey, 1945",3,1,false,RC/PAL/31/3061,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,checked
PT/2011/242/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,2009-10-11T22:00:00Z,2009-10-11T22:00:00Z,HC,Rui Andrade,APHRCELT,"Aphrosylus celtiber Haliday, 1855",1,0,false,,Marc Pollet,2012-01-28T23:00:00Z,IRSNB,W,
PT/2011/127/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,2011-10-27T22:00:00Z,2011-10-27T22:00:00Z,SW,Rui Andrade,APHRCELT,"Aphrosylus celtiber Haliday, 1855",5,10,false,RC/PAL/20/1918,Marc Pollet,2011-12-14T23:00:00Z,MAPC,W,
PT/2009/136/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,2009-05-21T22:00:00Z,2009-05-21T22:00:00Z,HC,Rui Andrade,APHRCELT,"Aphrosylus celtiber Haliday, 1855",5,2,false,,Marc Pollet,2012-01-10T23:00:00Z,IRSNB,W,
PT/2012/069/RA,PT,Minho,PT-03,Braga,Esposende,Apúlia,Parque Natural do Litoral Norte,-,"41°28'16.4""","8°46'27.2""",2,,2012-05-22T22:00:00Z,SW,Rui Andrade,APHRCELT,"Aphrosylus celtiber Haliday, 1855",3,0,false,RC/PAL/29/2863,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2012/090/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,,2012-10-19T22:00:00Z,SW,Rui Andrade,APHRCELT,"Aphrosylus celtiber Haliday, 1855",2,6,false,RC/PAL/29/2863,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2012/136/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,,2012-02-23T23:00:00Z,SW,Rui Andrade,APHRCELT,"Aphrosylus celtiber Haliday, 1855",4,3,false,RC/PAL/29/2863,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2016/397/RA,PT,Baixo Alentejo,PT-02,Beja,Odemira,Almograve,Praia de Almograve,-,"37°39'03.0""","8°48'10.6""",0,,2016-09-30T22:00:00Z,SW,Rui Andrade,APHRCELT,"Aphrosylus celtiber Haliday, 1855",3,1,false,RC/PAL/29/2863,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2013/180/AG,PT,Estremadura,PT-10,Leiria,Marinha Grande,Marinha Grande,São Pedro de Moel,-,"39°45'22.4""","9°01'56.4""",7,,2013-09-05T22:00:00Z,SW,Ana Rita Gonçalves,APHRCELT,"Aphrosylus celtiber Haliday, 1855",1,0,false,RC/PAL/29/2863,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2013/298/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,,2013-11-11T23:00:00Z,SW,Rui Andrade,APHRCELT,"Aphrosylus celtiber Haliday, 1855",1,4,false,RC/PAL/29/2863,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2011/060/RA,PT,Minho,PT-16,Viana do Castelo,Viana do Castelo,Carreço,-,-,"41°45'52.5""","8°52'38.0""",3,2011-09-06T22:00:00Z,2011-09-06T22:00:00Z,SW,Rui Andrade,APHRFERO,"Aphrosylus ferox Haliday, 1851",1,0,false,RC/PAL/20/1911,Marc Pollet,2011-10-30T23:00:00Z,MAPC,W,
PT/2011/127/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,2011-10-27T22:00:00Z,2011-10-27T22:00:00Z,SW,Rui Andrade,APHRFERO,"Aphrosylus ferox Haliday, 1851",17,28,false,RC/PAL/20/1911,Marc Pollet,2011-12-14T23:00:00Z,MAPC,W,
PT/2011/242/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,2009-10-11T22:00:00Z,2009-10-11T22:00:00Z,HC,Rui Andrade,APHRFERO,"Aphrosylus ferox Haliday, 1851",0,2,false,,Marc Pollet,2012-01-28T23:00:00Z,IRSNB,W,
PT/2012/090/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,,2012-10-19T22:00:00Z,SW,Rui Andrade,APHRFERO,"Aphrosylus ferox Haliday, 1851",30,17,false,RC/PAL/31/3015,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2012/136/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Arcozelo,-,-,"41°03'43.2""","8°39'26.5""",0,,2012-02-23T23:00:00Z,SW,Rui Andrade,APHRFERO,"Aphrosylus ferox Haliday, 1851",3,0,false,RC/PAL/31/3015,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2016/400/RA,PT,Algarve,PT-08,Faro,Aljezur,Aljezur,Praia da Amoreira,-,"37°20'57.9""","8°50'41.2""",0,,2016-10-01T22:00:00Z,HC,Rui Andrade,APHRFERO,"Aphrosylus ferox Haliday, 1851",1,1,false,RC/PAL/31/3015,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2016/403/RA,PT,Douro Litoral,PT-13,Porto,Vila do Conde,Mindelo,Paisagem Protegida Regional do Litoral de Vila do Conde e Reserva Ornitológica de Mindelo,-,"41°19'27.0""","8°43'59.7""",15,,2016-10-29T22:00:00Z,SW,Rui Andrade,APHRFERO,"Aphrosylus ferox Haliday, 1851",0,1,false,RC/PAL/31/3015,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2014/045/MP,PT,Minho,PT-03,Braga,Esposende,Esposende,-,-,"41°32'31.38""","8°47'25.08""",4,,2014-05-21T22:00:00Z,SW,Marc Pollet,APHRMITI,"Aphrosylus mitis Verrall, 1912",2,0,false,RC/PAL/31/3054,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PT/2014/035/MP,PT,Beira Litoral,PT-06,Coimbra,Arganil,Coja,along river Alva,-,"40°16'04.32""","7°59'48.30""",579,,2014-05-18T22:00:00Z,SW,Marc Pollet,ARGYARGY,"Argyra argyria (Meigen, 1824)",1,0,false,RC/PAL/31/3056,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2013/154/AG,PT,Ribatejo,PT-14,Santarém,Torres Novas,Olaia,Lamarosa,-,"39°31'46.66""","8°28'10.13""",65,,2013-04-29T22:00:00Z,SW,Ana Rita Gonçalves,ARGYARGY,"Argyra argyria (Meigen, 1824)",1,2,false,RC/PAL/32/3102,Marc Pollet,2018-06-04T22:00:00Z,MAPC,W,"2f with largely pale legs, but multiple postocellar bristles and abdomen without yellow lateral patches"
PT/2015/313/RA,PT,Trás-os-Montes e Alto Douro,PT-04,Bragança,Bragança,Carrazedo,-,-,"41°45'51.7""","6°54'06.2""",916,,2015-06-18T22:00:00Z,SW,Rui Andrade,ARGYDIAP,"Argyra diaphana (Fabricius, 1775)",0,1,false,,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2012/124/RA,PT,Estremadura,PT-10,Leiria,Caldas da Rainha,Tornada,Paul de Tornada,-,"39°26'52.8""","9°08'04.0""",10,,2012-09-14T22:00:00Z,SW,Rui Andrade,ARGYDISC,"Argyra discedens Becker, 1907",1,0,false,RC/PAL/30/2994,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,checked
PT/2010/026/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Canelas,Ria de Aveiro,-,"40°43'26.2""","8°33'55.4""",2.5,2010-08-11T22:00:00Z,2010-08-11T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",1,0,false,,Marc Pollet,2011-12-04T23:00:00Z,MAPC,W,
PT/2011/069/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Canelas,Ria de Aveiro,-,"40°43'26.2""","8°33'55.4""",2.5,2011-10-20T22:00:00Z,2011-10-20T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",1,3,false,RC/PAL/19/1852,Marc Pollet,2011-10-30T23:00:00Z,MAPC,W,2f with 1 pair of postocellar bristles
PT/2011/024/RA,PT,Douro Litoral,PT-13,Porto,Valongo,Valongo,Serras de Valongo,-,"41°09'33.4""","8°29'05.6""",75,2011-05-11T22:00:00Z,2011-05-11T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",1,0,false,,Marc Pollet,2011-06-18T22:00:00Z,MAPC,W,
PT/2011/001/JA,PT,Beira Litoral,PT-06,Coimbra,Coimbra,Arzila,Paúl de Arzila,-,40°10′45.0″,8°33′18.7″,8,2011-05-03T22:00:00Z,2011-05-03T22:00:00Z,SW,Jorge Mota Almeida,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",7,1,false,RC/PAL/19/1836,Marc Pollet,2011-10-08T22:00:00Z,MAPC,W,
PT/2010/023/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Canelas,Ria de Aveiro,-,"40°43'26.2""","8°33'55.4""",2.5,2010-09-18T22:00:00Z,2010-09-18T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",4,5,false,,Marc Pollet,2011-12-04T23:00:00Z,MAPC,W,
PT/2011/030/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Canelas,Ria de Aveiro,-,"40°43'26.2""","8°33'55.4""",2.5,2011-05-09T22:00:00Z,2011-05-09T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",2,0,false,,Marc Pollet,2011-06-18T22:00:00Z,MAPC,W,
PT/2010/041/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Canelas,Ria de Aveiro,-,"40°43'26.2""","8°33'55.4""",2.5,2010-08-03T22:00:00Z,2010-08-03T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",0,1,false,,Marc Pollet,2011-12-04T23:00:00Z,MAPC,W,small specimen
PT/2011/246/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Salreu,Ria de Aveiro,-,"40°43'57.6"" ","8°34'39.5""",4,2010-06-16T22:00:00Z,2010-06-16T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",0,1,false,,Marc Pollet,2012-01-28T23:00:00Z,MAPC,W,
PT/2011/036/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Canelas,Ria de Aveiro,-,"40°43'26.2""","8°33'55.4""",2.5,2011-09-13T22:00:00Z,2011-09-13T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",1,0,false,RC/PAL/19/1882,Marc Pollet,2011-10-30T23:00:00Z,MAPC,W,
PT/2010/047/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Canelas,Ria de Aveiro,-,"40°43'26.2""","8°33'55.4""",2.5,2010-08-24T22:00:00Z,2010-08-24T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",0,1,false,,Marc Pollet,2011-12-04T23:00:00Z,MAPC,W,
PT/2011/238/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Salreu,Ria de Aveiro,-,"40°43'57.6"" ","8°34'39.5""",4,2010-07-19T22:00:00Z,2010-07-19T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",0,1,false,,Marc Pollet,2012-01-28T23:00:00Z,MAPC,W,
PT/2011/029/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Salreu,Ria de Aveiro,-,"40°43'57.6"" ","8°34'39.5""",4,2011-03-21T23:00:00Z,2011-03-21T23:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",1,0,false,,Marc Pollet,2011-06-18T22:00:00Z,MAPC,W,
PT/2012/015/RA,PT,Minho,PT-03,Braga,Barcelos,Gilmonde,-,-,"41°30'43.0""","8°38'57.0""",37.5,,2012-06-03T22:00:00Z,SW,Rui Andrade,ARGYLEUC,"Argyra leucocephala (Meigen, 1824)",0,1,false,RS/PT/047,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
