id	coverScale	project	coverTotalInPercentage	coverTreesInPercentage	coverShrubsInPercentage	coverHerbsInPercentage	coverMossesInPercentage	treeLayerHeightInMeters	shrubLayerHeightInMeters	herbLayerHeightInCentimeters	mossesIdentified
IV2013092611175681	percentage Pct-1-100	NICHE Vlaanderen	70								yes
IV2013092611330062	percentage Pct-1-100	NICHE Vlaanderen	90								yes
IV2013092611495062	percentage Pct-1-100	NICHE Vlaanderen	90								yes
IV2013100109321947	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013100109435055	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013100109563209	percentage Pct-1-100	NICHE Vlaanderen		70							yes
IV2013100110170668	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013100110310672	percentage Pct-1-100	NICHE Vlaanderen		50	80						yes
IV2013100110425971	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013100110560333	percentage Pct-1-100	NICHE Vlaanderen			80		40				yes
IV2013100111193434	percentage Pct-1-100	NICHE Vlaanderen								70	yes
IV2013100111422087	percentage Pct-1-100	NICHE Vlaanderen								25	yes
IV2013100112011864	percentage Pct-1-100	NICHE Vlaanderen								35	yes
IV2013100113405919	percentage Pct-1-100	NICHE Vlaanderen								70	yes
IV2013100113575625	percentage Pct-1-100	NICHE Vlaanderen								65	yes
IV2013100114182702	percentage Pct-1-100	NICHE Vlaanderen								70	yes
IV2013100114321222	percentage Pct-1-100	NICHE Vlaanderen								35	yes
IV2013100114551827	percentage Pct-1-100	NICHE Vlaanderen								35	yes
IV2013100115132552	percentage Pct-1-100	NICHE Vlaanderen		10	85						yes
IV2013100115534244	percentage Pct-1-100	NICHE Vlaanderen								45	yes
IV2013100116162900	percentage Pct-1-100	NICHE Vlaanderen		85	30						yes
IV2013100116381959	percentage Pct-1-100	NICHE Vlaanderen								45	yes
IV2013100308593004	percentage Pct-1-100	NICHE Vlaanderen		80	60						yes
IV2013100309415913	percentage Pct-1-100	NICHE Vlaanderen		40	80	60					yes
IV2013100310221822	percentage Pct-1-100	NICHE Vlaanderen	100			100				140	yes
IV2013100310311206	percentage Pct-1-100	NICHE Vlaanderen	100			100				85	yes
IV2013100310550242	percentage Pct-1-100	NICHE Vlaanderen	100	90		100	60				yes
IV2013100311112093	percentage Pct-1-100	NICHE Vlaanderen	100	90		100					yes
IV2013100311284287	percentage Pct-1-100	NICHE Vlaanderen	100			100				90	yes
IV2013100311385184	percentage Pct-1-100	NICHE Vlaanderen	100			100				100	yes
IV2013100311480039	percentage Pct-1-100	NICHE Vlaanderen	100			100				120	yes
IV2013100709205638	percentage Pct-1-100	NICHE Vlaanderen	100			100				60	yes
IV2013100709482773	percentage Pct-1-100	NICHE Vlaanderen	100			100				50	yes
IV2013100710184653	percentage Pct-1-100	NICHE Vlaanderen	100			100				70	yes
IV2013100710313026	percentage Pct-1-100	NICHE Vlaanderen	100			100				60	yes
IV2013100710465723	percentage Pct-1-100	NICHE Vlaanderen	100			100	90			30	yes
IV2013100711082331	percentage Pct-1-100	NICHE Vlaanderen	100			100				40	yes
IV2013100711190067	percentage Pct-1-100	NICHE Vlaanderen	100			100				60	yes
IV2013100711345848	percentage Pct-1-100	NICHE Vlaanderen	100			100				50	yes
IV2013100711482006	percentage Pct-1-100	NICHE Vlaanderen	100			100				40	yes
IV2013100713291830	percentage Pct-1-100	NICHE Vlaanderen	100			100	1			60	yes
IV2013100713401178	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013100713555002	percentage Pct-1-100	NICHE Vlaanderen	100			100	5				yes
IV2013100714191932	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013100714374734	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013100714592958	percentage Pct-1-100	NICHE Vlaanderen	100			100				90	yes
IV2013100815340256	percentage Pct-1-100	NICHE Vlaanderen	100			100	5			70	yes
IV2013100815471430	percentage Pct-1-100	NICHE Vlaanderen	100			100	80			120	yes
IV2013100816001122	percentage Pct-1-100	NICHE Vlaanderen	100		60	60	50			70	yes
IV2013100816362343	percentage Pct-1-100	NICHE Vlaanderen	100		5	100	1			70	yes
IV2013100816493444	percentage Pct-1-100	NICHE Vlaanderen	100	20	80	100	70			70	yes
IV2013101009010743	percentage Pct-1-100	NICHE Vlaanderen	100	40	70	100	5			70	yes
IV2013101009450362	percentage Pct-1-100	NICHE Vlaanderen	80			80					yes
IV2013101009564221	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013101010054825	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013101010161629	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013101010453454	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013101010542592	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013101011031596	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013101011135066	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101011261602	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101011351223	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101011421108	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101011520151	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101012004391	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101409424077	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101409534651	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101410023804	percentage Pct-1-100	NICHE Vlaanderen		90		75					yes
IV2013101410213378	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013101410385692	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013101410555336	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013101411081883	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013101411291502	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101411464890	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101412585717	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101413391108	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101414003216	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101414115651	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101414201383	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101414283741	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101414391224	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101414491113	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101414561283	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101415180239	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101415323200	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101415512431	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101416154009	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101416305471	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101509070892	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101509212401	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101509351736	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101509441079	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101509593973	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101510115073	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101510264407	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101510395418	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101510561471	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101511114084	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101511215483	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101511530212	percentage Pct-1-100	NICHE Vlaanderen					30			40	yes
IV2013101513264446	percentage Pct-1-100	NICHE Vlaanderen					10			35	yes
IV2013101514030155	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101514180245	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101514481593	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101514584834	percentage Pct-1-100	NICHE Vlaanderen								60	yes
IV2013101515285654	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101515540402	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101516073661	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101516213391	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101709010364	percentage Pct-1-100	NICHE Vlaanderen	80			80	30				yes
IV2013101709243730	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101709481885	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101710253687	percentage Pct-1-100	NICHE Vlaanderen	80			80					yes
IV2013101710373960	percentage Pct-1-100	NICHE Vlaanderen								70	yes
IV2013101710552741	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101711090992	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101711223637	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101711333547	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101711442296	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013101711550608	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102109454592	percentage Pct-1-100	NICHE Vlaanderen	90								yes
IV2013102109525337	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102110072139	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102110140735	percentage Pct-1-100	NICHE Vlaanderen					90				yes
IV2013102110331336	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102110453730	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102110551932	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102111085206	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102111224388	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102111354714	percentage Pct-1-100	NICHE Vlaanderen	60								yes
IV2013102111453365	percentage Pct-1-100	NICHE Vlaanderen	80								yes
IV2013102111523425	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102113275264	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102113382417	percentage Pct-1-100	NICHE Vlaanderen	40								yes
IV2013102113444920	percentage Pct-1-100	NICHE Vlaanderen	50								yes
IV2013102113532960	percentage Pct-1-100	NICHE Vlaanderen	80								yes
IV2013102114003733	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102114091524	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102114222136	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102114550160	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102115060223	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102115204605	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102115365672	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102115581659	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102116081970	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102116183926	percentage Pct-1-100	NICHE Vlaanderen		30	70	70					yes
IV2013102116285427	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102208593019	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102209235390	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102209390989	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102209583972	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102210115646	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102210343020	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102210461283	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102211130239	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102211271942	percentage Pct-1-100	NICHE Vlaanderen								170	yes
IV2013102211361614	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102211522132	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102213404682	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102214082087	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102214501619	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102215073737	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102215145918	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102215284531	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102215410338	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102216014151	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102216101313	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102409193378	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102409385215	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102409561356	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102410062008	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102410230872	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102410305795	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102410472240	percentage Pct-1-100	NICHE Vlaanderen		50	1	60	15				yes
IV2013102410572754	percentage Pct-1-100	NICHE Vlaanderen		30	30	27	15				yes
IV2013102411261080	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102411321605	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102411545636	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013102412131421	percentage Pct-1-100	NICHE Vlaanderen		60	20	100					yes
IV2013102809125865	percentage Pct-1-100	NICHE Vlaanderen		75		100					yes
IV2013102809484417	percentage Pct-1-100	NICHE Vlaanderen		40	30	100					yes
IV2013102810150980	percentage Pct-1-100	NICHE Vlaanderen				100				75	yes
IV2013102811024360	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102811255763	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102811464855	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102812103270	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102813360788	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102814143141	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102815083824	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102815312541	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102816050310	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102816150907	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102909052321	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102909233512	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102909483689	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102909585312	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102910281882	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102910470175	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102911042224	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102911211622	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102911410549	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102911514311	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102913203391	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102913280100	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102913365901	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102914053082	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102914190666	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102914314038	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013102914523492	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102915042909	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013102915302443	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013102915413688	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013102915503675	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102915583087	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102916082228	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102916200185	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013102916314739	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103109102260	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103109270355	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103109364819	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103110212049	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103110575536	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103111162119	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103111285463	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103111453191	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103111563289	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103112040289	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013103112142989	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013110409073757	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013110409300447	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013110409460009	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013110410055913	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013110410511638	percentage Pct-1-100	NICHE Vlaanderen				100					yes
