id	measurementID	measurementType	measurementValue	measurementUnit	measurementMethod	measurementRemarks
IV2013100815340256	INBO:NICHE:MEAS:H:00015570	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013100815471430	INBO:NICHE:MEAS:H:00015574	HerbLayerHeightInCentimeters	120	cm	estimate	mossesIdentified:yes
IV2013100816001122	INBO:NICHE:MEAS:H:00015578	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013100816362343	INBO:NICHE:MEAS:H:00015582	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013100816493444	INBO:NICHE:MEAS:H:00015587	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013101009010743	INBO:NICHE:MEAS:H:00015600	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013101511530212	INBO:NICHE:MEAS:H:00015804	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013101513264446	INBO:NICHE:MEAS:H:00015806	HerbLayerHeightInCentimeters	35	cm	estimate	mossesIdentified:yes
IV2013101514584834	INBO:NICHE:MEAS:H:00015812	HerbLayerHeightInCentimeters	60	cm	estimate	mossesIdentified:yes
IV2013101710373960	INBO:NICHE:MEAS:H:00015880	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013102211271942	INBO:NICHE:MEAS:H:00016007	HerbLayerHeightInCentimeters	170	cm	estimate	mossesIdentified:yes
IV2013102810150980	INBO:NICHE:MEAS:H:00016124	HerbLayerHeightInCentimeters	75	cm	estimate	mossesIdentified:yes
IV2013111410523117	INBO:NICHE:MEAS:H:00016448	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013111909171692	INBO:NICHE:MEAS:H:00016474	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013111909275391	INBO:NICHE:MEAS:H:00016477	HerbLayerHeightInCentimeters	140	cm	estimate	mossesIdentified:yes
IV2013111909505989	INBO:NICHE:MEAS:H:00016479	HerbLayerHeightInCentimeters	55	cm	estimate	mossesIdentified:yes
IV2013111910134044	INBO:NICHE:MEAS:H:00016481	HerbLayerHeightInCentimeters	80	cm	estimate	mossesIdentified:yes
IV2013111910243512	INBO:NICHE:MEAS:H:00016483	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013111816321385	INBO:NICHE:MEAS:H:00017151	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013111816375914	INBO:NICHE:MEAS:H:00017153	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013111816475805	INBO:NICHE:MEAS:H:00017156	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013082709405366	INBO:NICHE:MEAS:P:00008288	coverShrubsInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082709405366	INBO:NICHE:MEAS:P:00008289	coverTreesInPercentage	85	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082709405366	INBO:NICHE:MEAS:P:00008290	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082710342834	INBO:NICHE:MEAS:P:00008310	coverShrubsInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082710342834	INBO:NICHE:MEAS:P:00008311	coverTreesInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082710342834	INBO:NICHE:MEAS:P:00008312	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082711032779	INBO:NICHE:MEAS:P:00008319	coverShrubsInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082711032779	INBO:NICHE:MEAS:P:00008320	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082711032779	INBO:NICHE:MEAS:P:00008321	coverHerbsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082714152313	INBO:NICHE:MEAS:P:00008379	coverShrubsInPercentage	15	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082714152313	INBO:NICHE:MEAS:P:00008380	coverTreesInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082714152313	INBO:NICHE:MEAS:P:00008381	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082714514868	INBO:NICHE:MEAS:P:00008404	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082715212212	INBO:NICHE:MEAS:P:00008414	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082716353292	INBO:NICHE:MEAS:P:00008435	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082716532472	INBO:NICHE:MEAS:P:00008436	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082908555841	INBO:NICHE:MEAS:P:00008437	coverShrubsInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082908555841	INBO:NICHE:MEAS:P:00008438	coverTreesInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082908555841	INBO:NICHE:MEAS:P:00008439	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082910203131	INBO:NICHE:MEAS:P:00008440	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082910433382	INBO:NICHE:MEAS:P:00008441	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082911225655	INBO:NICHE:MEAS:P:00008442	coverTreesInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082911225655	INBO:NICHE:MEAS:P:00008443	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082911330487	INBO:NICHE:MEAS:P:00008444	coverTreesInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013082911330487	INBO:NICHE:MEAS:P:00008445	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090209080806	INBO:NICHE:MEAS:P:00008446	coverTreesInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090209080806	INBO:NICHE:MEAS:P:00008447	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090209203892	INBO:NICHE:MEAS:P:00008449	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090209550974	INBO:NICHE:MEAS:P:00008452	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090210133576	INBO:NICHE:MEAS:P:00008458	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090210281248	INBO:NICHE:MEAS:P:00008460	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090210455479	INBO:NICHE:MEAS:P:00008466	coverShrubsInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090210455479	INBO:NICHE:MEAS:P:00008467	coverTreesInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090210455479	INBO:NICHE:MEAS:P:00008468	coverHerbsInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090211105010	INBO:NICHE:MEAS:P:00008471	coverShrubsInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090211105010	INBO:NICHE:MEAS:P:00008472	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090211105010	INBO:NICHE:MEAS:P:00008473	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090211233164	INBO:NICHE:MEAS:P:00008479	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090211495458	INBO:NICHE:MEAS:P:00008484	coverShrubsInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090211495458	INBO:NICHE:MEAS:P:00008485	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090211495458	INBO:NICHE:MEAS:P:00008486	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090212040762	INBO:NICHE:MEAS:P:00008492	coverShrubsInPercentage	20	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090212040762	INBO:NICHE:MEAS:P:00008493	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090212040762	INBO:NICHE:MEAS:P:00008494	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090213314521	INBO:NICHE:MEAS:P:00008503	coverShrubsInPercentage	25	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090213314521	INBO:NICHE:MEAS:P:00008504	coverTreesInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090213314521	INBO:NICHE:MEAS:P:00008506	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090213485211	INBO:NICHE:MEAS:P:00008510	coverShrubsInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090213485211	INBO:NICHE:MEAS:P:00008511	coverTreesInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090213485211	INBO:NICHE:MEAS:P:00008512	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090214041271	INBO:NICHE:MEAS:P:00008515	coverShrubsInPercentage	20	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090214041271	INBO:NICHE:MEAS:P:00008516	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090214041271	INBO:NICHE:MEAS:P:00008517	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090214181185	INBO:NICHE:MEAS:P:00008523	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090214414712	INBO:NICHE:MEAS:P:00008530	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090214535085	INBO:NICHE:MEAS:P:00008536	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090215262464	INBO:NICHE:MEAS:P:00008547	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090215262464	INBO:NICHE:MEAS:P:00008548	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090215450634	INBO:NICHE:MEAS:P:00008551	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090215450634	INBO:NICHE:MEAS:P:00008552	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090215593144	INBO:NICHE:MEAS:P:00008557	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090215593144	INBO:NICHE:MEAS:P:00008558	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090216291448	INBO:NICHE:MEAS:P:00008565	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090216291448	INBO:NICHE:MEAS:P:00008566	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090216340302	INBO:NICHE:MEAS:P:00008571	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090308420024	INBO:NICHE:MEAS:P:00008620	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090308420024	INBO:NICHE:MEAS:P:00008621	coverShrubsInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090308420024	INBO:NICHE:MEAS:P:00008622	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090308420024	INBO:NICHE:MEAS:P:00008623	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090309360490	INBO:NICHE:MEAS:P:00008634	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090309360490	INBO:NICHE:MEAS:P:00008635	coverShrubsInPercentage	5	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090309360490	INBO:NICHE:MEAS:P:00008636	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090309360490	INBO:NICHE:MEAS:P:00008637	coverHerbsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090309515867	INBO:NICHE:MEAS:P:00008649	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090309515867	INBO:NICHE:MEAS:P:00008650	coverShrubsInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090309515867	INBO:NICHE:MEAS:P:00008651	coverTreesInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090309515867	INBO:NICHE:MEAS:P:00008652	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090310083083	INBO:NICHE:MEAS:P:00008659	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090310083083	INBO:NICHE:MEAS:P:00008660	coverShrubsInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090310083083	INBO:NICHE:MEAS:P:00008661	coverTreesInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090310083083	INBO:NICHE:MEAS:P:00008662	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090310233148	INBO:NICHE:MEAS:P:00008668	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090310371503	INBO:NICHE:MEAS:P:00008670	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090310371503	INBO:NICHE:MEAS:P:00008671	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090310475285	INBO:NICHE:MEAS:P:00008672	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090310475285	INBO:NICHE:MEAS:P:00008673	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090310475285	INBO:NICHE:MEAS:P:00008674	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090311033080	INBO:NICHE:MEAS:P:00008675	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090311033080	INBO:NICHE:MEAS:P:00008676	coverTreesInPercentage	65	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090311033080	INBO:NICHE:MEAS:P:00008677	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090311304826	INBO:NICHE:MEAS:P:00008678	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090311304826	INBO:NICHE:MEAS:P:00008679	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090311304826	INBO:NICHE:MEAS:P:00008681	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313093249	INBO:NICHE:MEAS:P:00008682	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313093249	INBO:NICHE:MEAS:P:00008683	coverTreesInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313093249	INBO:NICHE:MEAS:P:00008684	coverHerbsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313253541	INBO:NICHE:MEAS:P:00008685	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313253541	INBO:NICHE:MEAS:P:00008686	coverShrubsInPercentage	25	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313253541	INBO:NICHE:MEAS:P:00008687	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313253541	INBO:NICHE:MEAS:P:00008688	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313404368	INBO:NICHE:MEAS:P:00008689	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313404368	INBO:NICHE:MEAS:P:00008690	coverShrubsInPercentage	5	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313404368	INBO:NICHE:MEAS:P:00008691	coverTreesInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090313404368	INBO:NICHE:MEAS:P:00008692	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090314182128	INBO:NICHE:MEAS:P:00008694	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090314182128	INBO:NICHE:MEAS:P:00008695	coverMossesInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090314182128	INBO:NICHE:MEAS:P:00008696	coverHerbsInPercentage	95	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090314391222	INBO:NICHE:MEAS:P:00008697	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090314391222	INBO:NICHE:MEAS:P:00008698	coverMossesInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090314391222	INBO:NICHE:MEAS:P:00008699	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090314571415	INBO:NICHE:MEAS:P:00008700	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090314571415	INBO:NICHE:MEAS:P:00008701	coverMossesInPercentage	20	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090314571415	INBO:NICHE:MEAS:P:00008702	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090315195216	INBO:NICHE:MEAS:P:00008703	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090315195216	INBO:NICHE:MEAS:P:00008704	coverMossesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090315195216	INBO:NICHE:MEAS:P:00008705	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090315441514	INBO:NICHE:MEAS:P:00008706	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090315441514	INBO:NICHE:MEAS:P:00008707	coverMossesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090315441514	INBO:NICHE:MEAS:P:00008708	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090316013553	INBO:NICHE:MEAS:P:00008709	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090316013553	INBO:NICHE:MEAS:P:00008710	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
