id	basisOfRecord	occurrenceID	recordedBy	organismQuantity	organismQuantityType	occurrenceStatus	eventID	identifiedBy	taxonID	scientificName	kingdom	taxonRank	verbatimTaxonRank	scientificNameAuthorship
IV2013101411081883	HumanObservation	INBO:NICHE:00073609	Els De Bie	5	londoScale	present	IV2013101411081883	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101411291502	HumanObservation	INBO:NICHE:00083701	Els De Bie	p2	londoScale	present	IV2013101411291502	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101415512431	HumanObservation	INBO:NICHE:00073926	Els De Bie	8	londoScale	present	IV2013101415512431	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101415512431	HumanObservation	INBO:NICHE:00073925	Els De Bie	p1	londoScale	present	IV2013101415512431	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101415512431	HumanObservation	INBO:NICHE:00073931	Els De Bie	p2	londoScale	present	IV2013101415512431	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101416154009	HumanObservation	INBO:NICHE:00073958	Els De Bie	p2	londoScale	present	IV2013101416154009	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101416154009	HumanObservation	INBO:NICHE:00073955	Els De Bie	p2	londoScale	present	IV2013101416154009	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101416305471	HumanObservation	INBO:NICHE:00073969	Els De Bie	p1	londoScale	present	IV2013101416305471	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101416305471	HumanObservation	INBO:NICHE:00073972	Els De Bie	p2	londoScale	present	IV2013101416305471	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101509351736	HumanObservation	INBO:NICHE:00074033	Els De Bie	1-	londoScale	present	IV2013101509351736	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101509351736	HumanObservation	INBO:NICHE:00074032	Els De Bie	9	londoScale	present	IV2013101509351736	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013100711082331	HumanObservation	INBO:NICHE:00072817	Els De Bie	r1	londoScale	present	IV2013100711082331	Els De Bie	INBSYS0000014747	Achillea millefolium	Plantae	Species	Spp	L.
IV2013112111373424	HumanObservation	INBO:NICHE:00082036	Els De Bie	p1	londoScale	present	IV2013112111373424	Els De Bie	INBSYS0000014747	Achillea millefolium	Plantae	Species	Spp	L.
IV2013112516390103	HumanObservation	INBO:NICHE:00082617	Els De Bie	m1	londoScale	present	IV2013112516390103	Els De Bie	INBSYS0000014747	Achillea millefolium	Plantae	Species	Spp	L.
IV2013110711311043	HumanObservation	INBO:NICHE:00077353	Els De Bie	p1	londoScale	present	IV2013110711311043	Els De Bie	INBSYS0000014747	Achillea millefolium	Plantae	Species	Spp	L.
IV2013102911211622	HumanObservation	INBO:NICHE:00076069	Els De Bie	r1	londoScale	present	IV2013102911211622	Els De Bie	INBSYS0000014747	Achillea millefolium	Plantae	Species	Spp	L.
IV2013102814143141	HumanObservation	INBO:NICHE:00075792	Els De Bie	1-	londoScale	present	IV2013102814143141	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013102815083824	HumanObservation	INBO:NICHE:00075829	Els De Bie	p1	londoScale	present	IV2013102815083824	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013102411261080	HumanObservation	INBO:NICHE:00075480	Els De Bie	p1	londoScale	present	IV2013102411261080	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013102810150980	HumanObservation	INBO:NICHE:00075648	Els De Bie	r1	londoScale	present	IV2013102810150980	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013112609022839	HumanObservation	INBO:NICHE:00082657	Els De Bie	a4	londoScale	present	IV2013112609022839	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013100714592958	HumanObservation	INBO:NICHE:00072991	Els De Bie	r1	londoScale	present	IV2013100714592958	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013102211522132	HumanObservation	INBO:NICHE:00075203	Els De Bie	1+	londoScale	present	IV2013102211522132	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013111914264545	HumanObservation	INBO:NICHE:00081542	Els De Bie	p1	londoScale	present	IV2013111914264545	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013111914523510	HumanObservation	INBO:NICHE:00081570	Els De Bie	a2	londoScale	present	IV2013111914523510	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013110711560527	HumanObservation	INBO:NICHE:00077390	Els De Bie	p1	londoScale	present	IV2013110711560527	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013111209143961	HumanObservation	INBO:NICHE:00077469	Els De Bie	p2	londoScale	present	IV2013111209143961	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013111816023823	HumanObservation	INBO:NICHE:00080642	Jan Wouters	r1	londoScale	present	IV2013111816023823	Jan Wouters	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013100711482006	HumanObservation	INBO:NICHE:00072864	Els De Bie	p1	londoScale	present	IV2013100711482006	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013100714191932	HumanObservation	INBO:NICHE:00072938	Els De Bie	a1	londoScale	present	IV2013100714191932	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013100714374734	HumanObservation	INBO:NICHE:00072963	Els De Bie	p1	londoScale	present	IV2013100714374734	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013100112011864	HumanObservation	INBO:NICHE:00072303	Els De Bie	m1	londoScale	present	IV2013100112011864	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013100111422087	HumanObservation	INBO:NICHE:00072276	Els De Bie	m2	londoScale	present	IV2013100111422087	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013101513264446	HumanObservation	INBO:NICHE:00074209	Els De Bie	a1	londoScale	present	IV2013101513264446	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013101514180245	HumanObservation	INBO:NICHE:00074257	Els De Bie	p1	londoScale	present	IV2013101514180245	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013101514481593	HumanObservation	INBO:NICHE:00074281	Els De Bie	p1	londoScale	present	IV2013101514481593	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013101514584834	HumanObservation	INBO:NICHE:00074305	Els De Bie	a2	londoScale	present	IV2013101514584834	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013101516073661	HumanObservation	INBO:NICHE:00074383	Els De Bie	a2	londoScale	present	IV2013101516073661	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013101515540402	HumanObservation	INBO:NICHE:00074360	Els De Bie	a2	londoScale	present	IV2013101515540402	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013101516213391	HumanObservation	INBO:NICHE:00074415	Els De Bie	1+	londoScale	present	IV2013101516213391	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013101709010364	HumanObservation	INBO:NICHE:00074480	Els De Bie	a2	londoScale	present	IV2013101709010364	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013101709481885	HumanObservation	INBO:NICHE:00074535	Els De Bie	p1	londoScale	present	IV2013101709481885	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013101710552741	HumanObservation	INBO:NICHE:00074588	Els De Bie	p1	londoScale	present	IV2013101710552741	Els De Bie	INBSYS0000014748	Achillea ptarmica	Plantae	Species	Spp	L.
IV2013100308593004	HumanObservation	INBO:NICHE:00072566	Els De Bie	1-	londoScale	present	IV2013100308593004	Els De Bie	INBSYS0000014673	Adoxa moschatellina	Plantae	Species	Spp	L.
IV2013101411081883	HumanObservation	INBO:NICHE:00073611	Els De Bie	p2	londoScale	present	IV2013101411081883	Els De Bie	INBSYS0000014673	Adoxa moschatellina	Plantae	Species	Spp	L.
IV2013082710342834	HumanObservation	INBO:NICHE:00048484	Els De Bie	p1	londoScale	present	IV2013082710342834	Els De Bie	INBSYS0000014673	Adoxa moschatellina	Plantae	Species	Spp	L.
IV2013111811552943	HumanObservation	INBO:NICHE:00079799	Jan Wouters	p1	londoScale	present	IV2013111811552943	Jan Wouters	INBSYS0000014673	Adoxa moschatellina	Plantae	Species	Spp	L.
IV2013111812012985	HumanObservation	INBO:NICHE:00079858	Jan Wouters	r1	londoScale	present	IV2013111812012985	Jan Wouters	INBSYS0000014673	Adoxa moschatellina	Plantae	Species	Spp	L.
IV2013111811552943	HumanObservation	INBO:NICHE:00079800	Jan Wouters	r1	londoScale	present	IV2013111811552943	Jan Wouters	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013102116081970	HumanObservation	INBO:NICHE:00075003	Els De Bie	p2	londoScale	present	IV2013102116081970	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013102116285427	HumanObservation	INBO:NICHE:00075025	Els De Bie	2	londoScale	present	IV2013102116285427	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013102116183926	HumanObservation	INBO:NICHE:00075019	Els De Bie	4	londoScale	present	IV2013102116183926	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013110711065784	HumanObservation	INBO:NICHE:00077321	Els De Bie	4	londoScale	present	IV2013110711065784	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013102913365901	HumanObservation	INBO:NICHE:00076134	Els De Bie	p4	londoScale	present	IV2013102913365901	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013101410555336	HumanObservation	INBO:NICHE:00073592	Els De Bie	p1	londoScale	present	IV2013101410555336	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013101509070892	HumanObservation	INBO:NICHE:00073993	Els De Bie	p4	londoScale	present	IV2013101509070892	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013101415512431	HumanObservation	INBO:NICHE:00073932	Els De Bie	p1	londoScale	present	IV2013101415512431	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013100308593004	HumanObservation	INBO:NICHE:00072567	Els De Bie	a2	londoScale	present	IV2013100308593004	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013100116162900	HumanObservation	INBO:NICHE:00072510	Els De Bie	8	londoScale	present	IV2013100116162900	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013090310475285	HumanObservation	INBO:NICHE:00050354	Els De Bie	2	londoScale	present	IV2013090310475285	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013090913433907	HumanObservation	INBO:NICHE:00051942	Els De Bie	p1	londoScale	present	IV2013090913433907	Els De Bie	INBSYS0000014337	Aegopodium podagraria	Plantae	Species	Spp	L.
IV2013100310550242	HumanObservation	INBO:NICHE:00072636	Els De Bie	r1	londoScale	present	IV2013100310550242	Els De Bie	INBSYS0000014206	Agrimonia eupatoria	Plantae	Species	Spp	L.
IV2013112516390103	HumanObservation	INBO:NICHE:00082618	Els De Bie	p1	londoScale	present	IV2013112516390103	Els De Bie	INBSYS0000015212	Agrostis	Plantae	Genus	Gen	
IV2013111816023823	HumanObservation	INBO:NICHE:00080643	Jan Wouters	a1	londoScale	present	IV2013111816023823	Jan Wouters	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013090210281248	HumanObservation	INBO:NICHE:00049309	Els De Bie	1-	londoScale	present	IV2013090210281248	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013090211233164	HumanObservation	INBO:NICHE:00049386	Els De Bie	p2	londoScale	present	IV2013090211233164	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013090213314521	HumanObservation	INBO:NICHE:00049520	Els De Bie	p1	londoScale	present	IV2013090213314521	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013110509384261	HumanObservation	INBO:NICHE:00077048	Els De Bie	p2	londoScale	present	IV2013110509384261	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013111215221189	HumanObservation	INBO:NICHE:00077841	Els De Bie	6	londoScale	present	IV2013111215221189	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102211522132	HumanObservation	INBO:NICHE:00075204	Els De Bie	3	londoScale	present	IV2013102211522132	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102213404682	HumanObservation	INBO:NICHE:00075232	Els De Bie	a4	londoScale	present	IV2013102213404682	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102214082087	HumanObservation	INBO:NICHE:00075243	Els De Bie	4	londoScale	present	IV2013102214082087	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013112516464447	HumanObservation	INBO:NICHE:00082644	Els De Bie	7	londoScale	present	IV2013112516464447	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013092611045689	HumanObservation	INBO:NICHE:00072055	Els De Bie	6	londoScale	present	IV2013092611045689	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101711550608	HumanObservation	INBO:NICHE:00074667	Els De Bie	1+	londoScale	present	IV2013101711550608	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102110140735	HumanObservation	INBO:NICHE:00074712	Els De Bie	a2	londoScale	present	IV2013102110140735	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102110331336	HumanObservation	INBO:NICHE:00074726	Els De Bie	a4	londoScale	present	IV2013102110331336	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102111224388	HumanObservation	INBO:NICHE:00074782	Els De Bie	1+	londoScale	present	IV2013102111224388	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102810150980	HumanObservation	INBO:NICHE:00075649	Els De Bie	2	londoScale	present	IV2013102810150980	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102411545636	HumanObservation	INBO:NICHE:00075520	Els De Bie	a2	londoScale	present	IV2013102411545636	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102809484417	HumanObservation	INBO:NICHE:00075614	Els De Bie	m1	londoScale	present	IV2013102809484417	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102811464855	HumanObservation	INBO:NICHE:00075713	Els De Bie	7	londoScale	present	IV2013102811464855	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102409193378	HumanObservation	INBO:NICHE:00075379	Els De Bie	1+	londoScale	present	IV2013102409193378	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102410472240	HumanObservation	INBO:NICHE:00075455	Els De Bie	a2	londoScale	present	IV2013102410472240	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102411321605	HumanObservation	INBO:NICHE:00075489	Els De Bie	a1	londoScale	present	IV2013102411321605	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102215073737	HumanObservation	INBO:NICHE:00075279	Els De Bie	5	londoScale	present	IV2013102215073737	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102409561356	HumanObservation	INBO:NICHE:00075414	Els De Bie	a1	londoScale	present	IV2013102409561356	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013102815083824	HumanObservation	INBO:NICHE:00075830	Els De Bie	p2	londoScale	present	IV2013102815083824	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013111409215471	HumanObservation	INBO:NICHE:00078042	Els De Bie	p2	londoScale	present	IV2013111409215471	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013110509005412	HumanObservation	INBO:NICHE:00077005	Els De Bie	p1	londoScale	present	IV2013110509005412	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013111816234657	HumanObservation	INBO:NICHE:00080753	Jan Wouters	5	londoScale	present	IV2013111816234657	Jan Wouters	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013112516322155	HumanObservation	INBO:NICHE:00082605	Els De Bie	a1	londoScale	present	IV2013112516322155	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013100710313026	HumanObservation	INBO:NICHE:00072777	Els De Bie	1-	londoScale	present	IV2013100710313026	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013100114182702	HumanObservation	INBO:NICHE:00072376	Els De Bie	5	londoScale	present	IV2013100114182702	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013100111422087	HumanObservation	INBO:NICHE:00072277	Els De Bie	7	londoScale	present	IV2013100111422087	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013100112011864	HumanObservation	INBO:NICHE:00072304	Els De Bie	6	londoScale	present	IV2013100112011864	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013100113405919	HumanObservation	INBO:NICHE:00072323	Els De Bie	a1	londoScale	present	IV2013100113405919	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101415180239	HumanObservation	INBO:NICHE:00073859	Els De Bie	p2	londoScale	present	IV2013101415180239	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013090910320327	HumanObservation	INBO:NICHE:00051731	Els De Bie	1+	londoScale	present	IV2013090910320327	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013090910523353	HumanObservation	INBO:NICHE:00051763	Els De Bie	a4	londoScale	present	IV2013090910523353	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013090911135698	HumanObservation	INBO:NICHE:00051801	Els De Bie	1-	londoScale	present	IV2013090911135698	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013090509280656	HumanObservation	INBO:NICHE:00051023	Els De Bie	p1	londoScale	present	IV2013090509280656	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013090510054604	HumanObservation	INBO:NICHE:00051040	Els De Bie	3	londoScale	present	IV2013090510054604	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013090914144559	HumanObservation	INBO:NICHE:00051989	Els De Bie	p1	londoScale	present	IV2013090914144559	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013092609153287	HumanObservation	INBO:NICHE:00072009	Els De Bie	p1	londoScale	present	IV2013092609153287	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101710552741	HumanObservation	INBO:NICHE:00074589	Els De Bie	3	londoScale	present	IV2013101710552741	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101709243730	HumanObservation	INBO:NICHE:00074506	Els De Bie	2	londoScale	present	IV2013101709243730	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101711333547	HumanObservation	INBO:NICHE:00074647	Els De Bie	1+	londoScale	present	IV2013101711333547	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101711442296	HumanObservation	INBO:NICHE:00074657	Els De Bie	a2	londoScale	present	IV2013101711442296	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2014052713551400	HumanObservation	INBO:NICHE:00098205	Kris Rombouts	1-	londoScale	present	IV2014052713551400	Kris Rombouts	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101516213391	HumanObservation	INBO:NICHE:00074416	Els De Bie	2	londoScale	present	IV2013101516213391	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101516073661	HumanObservation	INBO:NICHE:00074384	Els De Bie	1-	londoScale	present	IV2013101516073661	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101514584834	HumanObservation	INBO:NICHE:00074306	Els De Bie	1-	londoScale	present	IV2013101514584834	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101514481593	HumanObservation	INBO:NICHE:00074282	Els De Bie	a4	londoScale	present	IV2013101514481593	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101513264446	HumanObservation	INBO:NICHE:00074210	Els De Bie	3	londoScale	present	IV2013101513264446	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101514030155	HumanObservation	INBO:NICHE:00074239	Els De Bie	a4	londoScale	present	IV2013101514030155	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101511114084	HumanObservation	INBO:NICHE:00074140	Els De Bie	3	londoScale	present	IV2013101511114084	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101511530212	HumanObservation	INBO:NICHE:00074176	Els De Bie	2	londoScale	present	IV2013101511530212	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2013101510561471	HumanObservation	INBO:NICHE:00074123	Els De Bie	6	londoScale	present	IV2013101510561471	Els De Bie	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
IV2014052714094752	HumanObservation	INBO:NICHE:00098227	Kris Rombouts	1-	londoScale	present	IV2014052714094752	Kris Rombouts	INBSYS0000013777	Agrostis canina	Plantae	Species	Spp	L.
